indice_tiempo,consultas_total,consultas_dispositivos_moviles,consultas_dispositivos_no_moviles,usuarios_total,consultas_acumuladas_total
2018-01-08,139,0,139,0,403959
2018-01-09,6819,0,6819,0,410778
2018-01-10,6326,0,6326,0,417104
2018-01-11,7173,0,7173,0,424277
2018-01-12,4683,0,4683,0,428960
2018-01-13,10867,0,10867,0,439827
2018-01-14,7499,0,7499,0,447326
2018-01-15,5072,0,5072,0,452398
2018-01-16,10417,0,10417,0,462815
2018-01-17,8957,0,8957,0,471772
2018-01-18,4512,0,4512,0,476284
2018-01-19,0,0,0,0,476284
2018-01-20,0,0,0,0,476284
2018-01-21,0,0,0,0,476284
2018-01-22,0,0,0,0,476284
2018-01-23,0,0,0,0,476284
2018-01-24,0,0,0,0,476284
2018-01-25,0,0,0,0,476284
2018-01-26,0,0,0,0,476284
2018-01-27,0,0,0,0,476284
2018-01-28,0,0,0,0,476284
2018-01-29,0,0,0,0,476284
2018-01-30,0,0,0,0,476284
2018-01-31,0,0,0,0,476284
2018-02-01,0,0,0,0,476284
2018-02-02,0,0,0,0,476284
2018-02-03,0,0,0,0,476284
2018-02-04,0,0,0,0,476284
2018-02-05,20626,0,20626,0,496910
2018-02-06,4388,0,4388,0,501298
2018-02-07,0,0,0,0,501298
2018-02-08,17306,0,17306,0,518604
2018-02-09,8098,0,8098,0,526702
2018-02-10,12132,0,12132,0,538834
2018-02-11,4701,0,4701,0,543535
2018-02-12,3368,0,3368,0,546903
2018-02-13,4989,0,4989,0,551892
2018-02-14,4888,0,4888,0,556780
2018-02-15,48679,0,48679,0,605459
2018-02-16,5735,0,5735,0,611194
2018-02-17,6782,0,6782,0,617976
2018-02-18,7540,0,7540,0,625516
2018-02-19,5521,0,5521,0,631037
2018-02-20,12706,0,12706,0,643743
2018-02-21,12808,0,12808,0,656551
2018-02-22,14490,0,14490,0,671041
2018-02-23,5953,0,5953,0,676994
2018-02-24,7522,0,7522,0,684516
2018-02-25,12125,0,12125,0,696641
2018-02-26,10651,0,10651,0,707292
2018-02-27,823,0,823,0,708115
2018-02-28,4153,0,4153,0,712268
2018-03-01,8290,0,8290,0,720558
2018-03-02,4248,0,4248,0,724806
2018-03-03,7468,0,7468,0,732274
2018-03-04,5533,0,5533,0,737807
2018-03-05,7701,0,7701,0,745508
2018-03-06,4749,0,4749,0,750257
2018-03-07,8757,0,8757,0,759014
2018-03-08,11624,0,11624,0,770638
2018-03-09,10103,0,10103,0,780741
2018-03-10,3535,0,3535,0,784276
2018-03-11,6245,0,6245,0,790521
2018-03-12,12356,0,12356,0,802877
2018-03-13,12600,0,12600,0,815477
2018-03-14,11061,0,11061,0,826538
2018-03-15,5140,0,5140,0,831678
2018-03-16,7089,0,7089,0,838767
2018-03-17,10117,0,10117,0,848884
2018-03-18,9860,0,9860,0,858744
2018-03-19,8118,0,8118,0,866862
2018-03-20,8354,0,8354,0,875216
2018-03-21,9374,0,9374,0,884590
2018-03-22,7822,0,7822,0,892412
2018-03-23,7897,0,7897,0,900309
2018-03-24,12809,0,12809,0,913118
2018-03-25,13245,0,13245,0,926363
2018-03-26,13499,0,13499,0,939862
2018-03-27,5620,0,5620,0,945482
2018-03-28,0,0,0,0,945482
2018-03-29,0,0,0,0,945482
2018-03-30,0,0,0,0,945482
2018-03-31,0,0,0,0,945482
2018-04-01,0,0,0,0,945482
2018-04-02,0,0,0,0,945482
2018-04-03,0,0,0,0,945482
2018-04-04,0,0,0,0,945482
2018-04-05,0,0,0,0,945482
2018-04-06,0,0,0,0,945482
2018-04-07,0,0,0,0,945482
2018-04-08,0,0,0,0,945482
2018-04-09,0,0,0,0,945482
2018-04-10,0,0,0,0,945482
2018-04-11,0,0,0,0,945482
2018-04-12,0,0,0,0,945482
2018-04-13,0,0,0,0,945482
2018-04-14,0,0,0,0,945482
2018-04-15,0,0,0,0,945482
2018-04-16,0,0,0,0,945482
2018-04-17,0,0,0,0,945482
2018-04-18,0,0,0,0,945482
2018-04-19,0,0,0,0,945482
2018-04-20,0,0,0,0,945482
2018-04-21,0,0,0,0,945482
2018-04-22,0,0,0,0,945482
2018-04-23,0,0,0,0,945482
2018-04-24,0,0,0,0,945482
2018-04-25,0,0,0,0,945482
2018-04-26,2723,0,2723,0,948205
2018-04-27,550,0,550,0,948755
2018-04-28,0,0,0,0,948755
2018-04-29,0,0,0,0,948755
2018-04-30,0,0,0,0,948755
2018-05-01,0,0,0,0,948755
2018-05-02,2244,0,2244,0,950999
2018-05-03,1054,0,1054,0,952053
